%time,field.header.seq,field.header.stamp,field.header.frame_id,field.radiation_type,field.field_of_view,field.min_range,field.max_range,field.range
1607961631398150136,58,1607961631391681909,smarty200/dvl_altitude,0,0.20000000298,0.5,80.0,15.0041065216
1607961631597430615,59,1607961631593003034,smarty200/dvl_altitude,0,0.20000000298,0.5,80.0,15.0058794022
1607961631797650883,60,1607961631794636964,smarty200/dvl_altitude,0,0.20000000298,0.5,80.0,15.007226944
1607961631994247441,61,1607961631991852998,smarty200/dvl_altitude,0,0.20000000298,0.5,80.0,15.0075445175
1607961632193619520,62,1607961632191667079,smarty200/dvl_altitude,0,0.20000000298,0.5,80.0,15.0066919327
1607961632394857290,63,1607961632391860008,smarty200/dvl_altitude,0,0.20000000298,0.5,80.0,15.0050888062
1607961632595203440,64,1607961632592091083,smarty200/dvl_altitude,0,0.20000000298,0.5,80.0,15.0034427643
1607961632797225652,65,1607961632792368888,smarty200/dvl_altitude,0,0.20000000298,0.5,80.0,15.0023775101
1607961632993232554,66,1607961632991424083,smarty200/dvl_altitude,0,0.20000000298,0.5,80.0,15.0022277832
1607961633194414332,67,1607961633191737890,smarty200/dvl_altitude,0,0.20000000298,0.5,80.0,15.0030269623
1607961633395472078,68,1607961633391501903,smarty200/dvl_altitude,0,0.20000000298,0.5,80.0,15.0045146942
1607961633592246228,69,1607961633591550111,smarty200/dvl_altitude,0,0.20000000298,0.5,80.0,15.0061454773
1607961633796488816,70,1607961633792376041,smarty200/dvl_altitude,0,0.20000000298,0.5,80.0,15.0072383881
1607961633997904790,71,1607961633992147922,smarty200/dvl_altitude,0,0.20000000298,0.5,80.0,15.0073003769
1607961634193300896,72,1607961634191378116,smarty200/dvl_altitude,0,0.20000000298,0.5,80.0,15.0063142776
1607961634395931506,73,1607961634392189979,smarty200/dvl_altitude,0,0.20000000298,0.5,80.0,15.0047512054
1607961634596535992,74,1607961634592225074,smarty200/dvl_altitude,0,0.20000000298,0.5,80.0,15.003282547
1607961634798375386,75,1607961634794373035,smarty200/dvl_altitude,0,0.20000000298,0.5,80.0,15.0024471283
1607961634995245830,76,1607961634992567062,smarty200/dvl_altitude,0,0.20000000298,0.5,80.0,15.0025062561
1607961635198153801,77,1607961635191852092,smarty200/dvl_altitude,0,0.20000000298,0.5,80.0,15.0034294128
1607961635396057052,78,1607961635391741991,smarty200/dvl_altitude,0,0.20000000298,0.5,80.0,15.0049057007
1607961635594345248,79,1607961635591916084,smarty200/dvl_altitude,0,0.20000000298,0.5,80.0,15.0063714981
1607961635798541986,80,1607961635792741060,smarty200/dvl_altitude,0,0.20000000298,0.5,80.0,15.0072031021
1607961635994634689,81,1607961635991605043,smarty200/dvl_altitude,0,0.20000000298,0.5,80.0,15.007024765
1607961636198625025,82,1607961636192332983,smarty200/dvl_altitude,0,0.20000000298,0.5,80.0,15.0059318542
1607961636393239029,83,1607961636391900062,smarty200/dvl_altitude,0,0.20000000298,0.5,80.0,15.0044345856
1607961636594437012,84,1607961636592521905,smarty200/dvl_altitude,0,0.20000000298,0.5,80.0,15.003153801
1607961636794193365,85,1607961636792110919,smarty200/dvl_altitude,0,0.20000000298,0.5,80.0,15.0025501251
1607961636998770409,86,1607961636993247032,smarty200/dvl_altitude,0,0.20000000298,0.5,80.0,15.0028066635
1607961637195185576,87,1607961637191565036,smarty200/dvl_altitude,0,0.20000000298,0.5,80.0,15.0038337708
1607961637395936638,88,1607961637391876935,smarty200/dvl_altitude,0,0.20000000298,0.5,80.0,15.0052690506
1607961637595564537,89,1607961637591986894,smarty200/dvl_altitude,0,0.20000000298,0.5,80.0,15.0065488815
1607961637797113860,90,1607961637792557001,smarty200/dvl_altitude,0,0.20000000298,0.5,80.0,15.0071172714
1607961637993802327,91,1607961637992290019,smarty200/dvl_altitude,0,0.20000000298,0.5,80.0,15.0067195892
1607961638195401205,92,1607961638192795038,smarty200/dvl_altitude,0,0.20000000298,0.5,80.0,15.0055541992
1607961638393996226,93,1607961638392235994,smarty200/dvl_altitude,0,0.20000000298,0.5,80.0,15.0041484833
1607961638594872477,94,1607961638592628955,smarty200/dvl_altitude,0,0.20000000298,0.5,80.0,15.0030670166
