%time,field.header.seq,field.header.stamp,field.header.frame_id,field.fluid_pressure,field.variance
1607961632204941458,1,1607961632204597949,,101300.0,0.0
1607961633204450460,2,1607961633203833103,,101300.0,0.0
1607961634205422901,3,1607961634204154014,,101300.0,0.0
1607961635203642615,4,1607961635203010082,,101300.0,0.0
1607961636204698850,5,1607961636203890085,,101300.0,0.0
1607961637204604878,6,1607961637204220056,,101300.0,0.0
1607961638203741052,7,1607961638203425884,,101300.0,0.0
1607961639205743311,8,1607961639204864978,,101300.0,0.0
1607961640204465121,9,1607961640204066038,,101300.0,0.0
1607961641205464556,10,1607961641204467058,,101300.0,0.0
1607961642204911873,11,1607961642204601049,,101300.0,0.0
1607961643203321744,12,1607961643202951908,,101300.0,0.0
1607961644204795372,13,1607961644204344987,,101300.0,0.0
1607961645203607759,14,1607961645203201055,,101300.0,0.0
1607961646204345371,15,1607961646203916072,,101300.0,0.0
1607961647204876175,16,1607961647204334020,,101300.0,0.0
1607961648205246964,17,1607961648204605102,,101300.0,0.0
1607961649204458855,18,1607961649203881025,,101300.0,0.0
1607961650204613827,19,1607961650204233884,,101300.0,0.0
1607961651205333350,20,1607961651204366922,,101300.0,0.0
1607961652205333106,21,1607961652204860925,,101300.0,0.0
1607961653205867912,22,1607961653205302953,,101300.0,0.0
1607961654204488004,23,1607961654203946113,,101300.0,0.0
1607961655205468639,24,1607961655204891920,,101300.0,0.0
1607961656205714860,25,1607961656204246044,,101300.0,0.0
1607961657206016299,26,1607961657204540014,,101300.0,0.0
1607961658205763695,27,1607961658203948974,,101300.0,0.0
1607961659204875383,28,1607961659204588890,,101300.0,0.0
1607961660205940379,29,1607961660204878091,,101300.0,0.0
1607961661205592133,30,1607961661204915046,,101300.0,0.0
1607961662204448054,31,1607961662203999996,,101300.0,0.0
1607961663204695628,32,1607961663204319000,,101300.0,0.0
1607961664204619317,33,1607961664204067945,,101300.0,0.0
1607961665204544642,34,1607961665204196929,,101300.0,0.0
1607961666204712574,35,1607961666204359054,,101300.0,0.0
1607961667205748374,36,1607961667204745054,,101300.0,0.0
1607961668204914248,37,1607961668204200029,,101300.0,0.0
1607961669204917823,38,1607961669204389095,,101300.0,0.0
1607961670206016708,39,1607961670204909086,,101300.0,0.0
1607961671204514175,40,1607961671203802108,,101300.0,0.0
1607961672203689999,41,1607961672203167915,,101300.0,0.0
1607961673204845381,42,1607961673204487085,,101300.0,0.0
1607961674205560031,43,1607961674205017089,,101300.0,0.0
1607961675204208938,44,1607961675203826904,,101300.0,0.0
1607961676203687013,45,1607961676203282117,,101300.0,0.0
1607961677205691701,46,1607961677204760074,,101300.0,0.0
1607961678204075285,47,1607961678203200101,,101300.0,0.0
1607961679205185132,48,1607961679204564094,,101300.0,0.0
1607961680205207750,49,1607961680204760074,,101300.0,0.0
1607961681204269389,50,1607961681203938961,,101300.0,0.0
1607961682204990770,51,1607961682204514026,,101300.0,0.0
1607961683206280360,52,1607961683204689025,,101300.0,0.0
1607961684204431984,53,1607961684204054117,,101300.0,0.0
1607961685204756155,54,1607961685203943014,,101300.0,0.0
1607961686205322436,55,1607961686204689979,,101300.0,0.0
1607961687205259272,56,1607961687204854011,,101300.0,0.0
1607961688204317245,57,1607961688203931093,,101300.0,0.0
