%time,field.header.seq,field.header.stamp,field.header.frame_id,field.velocity.x,field.velocity.y,field.velocity.z,field.velocity_covariance0,field.velocity_covariance1,field.velocity_covariance2,field.velocity_covariance3,field.velocity_covariance4,field.velocity_covariance5,field.velocity_covariance6,field.velocity_covariance7,field.velocity_covariance8,field.altitude
1607961631394758380,58,1607961631391681909,smarty200/dvl,0.00186852694128,0.000106394634394,0.00747265227846,0.04,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.04,15.0041065223
1607961631595516156,59,1607961631593003034,smarty200/dvl,-0.000837196516827,0.00245867548214,0.00982595923964,0.04,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.04,15.0058791016
1607961631797559526,60,1607961631794636964,smarty200/dvl,-0.00273349080481,0.00221209709861,0.0052052032049,0.04,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.04,15.0072271233
1607961631994285437,61,1607961631991852998,smarty200/dvl,-0.000698269551812,-0.00131996934588,-0.000846731259945,0.04,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.04,15.0075446997
1607961632193070996,62,1607961632191667079,smarty200/dvl,-0.00170726941051,0.00249685276404,-0.00626380361241,0.04,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.04,15.0066923617
1607961632393609544,63,1607961632391860008,smarty200/dvl,-0.00028496570749,0.00197430043434,-0.00841392941198,0.04,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.04,15.0050885754
1607961632594965258,64,1607961632592091083,smarty200/dvl,-0.00221881839078,0.000499552599481,-0.00624292386468,0.04,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.04,15.0034426387
1607961632796339284,65,1607961632792368888,smarty200/dvl,-0.00173326879724,-0.00160508711564,-0.0034875932548,0.04,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.04,15.0023773494
1607961632992672417,66,1607961632991424083,smarty200/dvl,0.000214823046399,-0.000344875291393,0.00473544546157,0.04,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.04,15.002227729
1607961633193140387,67,1607961633191737890,smarty200/dvl,-9.95004645537e-05,0.00186682156312,0.00580956949045,0.04,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.04,15.0030270126
1607961633394705035,68,1607961633391501903,smarty200/dvl,-0.00138710424598,0.0015263874332,0.00853907013767,0.04,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.04,15.0045145613
1607961633593140464,69,1607961633591550111,smarty200/dvl,0.00289357684553,0.00130642914048,0.00784163864659,0.04,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.04,15.0061450171
1607961633794791840,70,1607961633792376041,smarty200/dvl,-0.00149690008076,-0.00145999634142,0.00381273244625,0.04,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.04,15.0072382456
1607961633995157796,71,1607961633992147922,smarty200/dvl,0.000921030429015,-0.000342785261158,-0.000663185794579,0.04,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.04,15.0073003391
1607961634192214442,72,1607961634191378116,smarty200/dvl,0.00192033315251,-0.000115842405952,-0.0078607602889,0.04,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.04,15.0063141246
1607961634395953383,73,1607961634392189979,smarty200/dvl,0.000375971388923,-0.000746433299477,-0.00674181728107,0.04,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.04,15.0047511822
1607961634594638165,74,1607961634592225074,smarty200/dvl,-0.00098491351361,-0.00206058916782,-0.00404162830558,0.04,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.04,15.0032821676
1607961634799179107,75,1607961634794373035,smarty200/dvl,-0.000222665771258,0.000894310443635,-0.00244031605431,0.04,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.04,15.0024472854
